am,country,course,player_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,USA,Waialae Country Club,19846,41565225,6000.0,1,n/a,0,USA,48001,"Bauchou, Zach",2026-01-15 13:19,2026-01-16 08:49,2026-01-17 07:37,2026-01-18 10:20,1,0,n/a,0,6
0,USA,Waialae Country Club,17606,41565179,7600.0,1,n/a,0,USA,40026,"Berger, Daniel",2026-01-15 12:02,2026-01-16 07:32,2026-01-17 11:00,2026-01-18 10:50,1,0,n/a,0,6
0,USA,Waialae Country Club,17639,41565211,6400.0,1,n/a,0,USA,40058,"Blair, Zac",2026-01-15 11:51,2026-01-16 07:21,2026-01-17 09:15,2026-01-18 10:11,1,0,n/a,0,6
0,USA,n/a,24956,n/a,0.0,0,n/a,0,USA,54788,"Blanchet, Chandler",2026-01-15 12:46,2026-01-16 08:16,,,0,0,n/a,0,6
0,USA,n/a,13872,n/a,0.0,0,n/a,0,USA,33141,"Bradley, Keegan",2026-01-15 12:13,2026-01-16 07:43,,,0,0,n/a,0,6
0,USA,n/a,29197,n/a,0.0,0,n/a,0,USA,61522,"Brennan, Michael",2026-01-15 12:24,2026-01-16 07:54,,,0,0,n/a,0,6
0,USA,Waialae Country Club,29433,41565195,7000.0,0,n/a,0,USA,60004,"Bridgeman, Jacob",2026-01-15 07:10,2026-01-16 11:40,2026-01-17 09:55,2026-01-18 12:05,1,0,n/a,0,6
0,ENG,Waialae Country Club,20766,41565210,6500.0,1,n/a,0,ENG,57259,"Brown, Daniel",2026-01-15 13:08,2026-01-16 08:38,2026-01-17 09:55,2026-01-18 09:57,1,0,n/a,0,6
1,USA,n/a,30041790,n/a,0.0,0,n/a,0,USA,70036,"Cabello, Anson",2026-01-15 08:49,2026-01-16 13:19,,,0,0,n/a,0,6
0,USA,n/a,18628,n/a,0.0,0,n/a,0,USA,46443,"Campbell, Brian",2026-01-15 07:54,2026-01-16 12:24,,,0,0,n/a,0,6
0,PUR,n/a,12909,n/a,0.0,0,n/a,0,PUR,32070,"Campos, Rafael",2026-01-15 12:02,2026-01-16 07:32,,,0,0,n/a,0,6
0,USA,Waialae Country Club,27819,41565199,6800.0,0,n/a,0,USA,59440,"Castillo, Ricky",2026-01-15 08:38,2026-01-16 13:08,2026-01-17 10:30,2026-01-18 11:55,1,0,n/a,0,6
0,USA,Waialae Country Club,14502,41565207,6600.0,1,n/a,0,USA,34021,"Cauley, Bud",2026-01-15 11:51,2026-01-16 07:21,2026-01-17 09:05,2026-01-18 11:20,1,0,n/a,0,6
0,USA,n/a,30620,n/a,0.0,0,n/a,0,USA,59006,"Chatfield, Davis",2026-01-15 12:57,2026-01-16 08:27,,,0,0,n/a,0,6
0,USA,n/a,32330,n/a,0.0,0,n/a,0,USA,66743,"Clanton, Luke",2026-01-15 12:46,2026-01-16 08:16,,,0,0,n/a,0,6
0,USA,n/a,21756,n/a,0.0,0,n/a,0,USA,47591,"Cole, Eric",2026-01-15 11:51,2026-01-16 07:21,,,0,0,n/a,0,6
0,CAN,Waialae Country Club,17576,41565162,8900.0,0,n/a,0,CAN,39997,"Conners, Corey",2026-01-15 07:54,2026-01-16 12:24,2026-01-17 09:25,2026-01-18 12:35,1,0,n/a,0,6
0,USA,Waialae Country Club,28309,41565182,7500.0,1,n/a,0,USA,59836,"Coody, Pierceson",2026-01-15 08:27,2026-01-16 12:57,2026-01-17 08:22,2026-01-18 09:21,1,0,n/a,0,6
0,AUS,n/a,17786,n/a,0.0,0,n/a,0,AUS,45157,"Davis, Cam",2026-01-15 07:43,2026-01-16 12:13,,,0,0,n/a,0,6
0,CHN,Waialae Country Club,16757,41565221,6100.0,1,n/a,0,CHN,37338,"Dou, Zecheng",2026-01-15 08:49,2026-01-16 13:19,2026-01-17 07:10,2026-01-18 08:04,1,0,n/a,0,6
0,BEL,Waialae Country Club,22002,41565173,7900.0,1,n/a,0,BEL,50497,"Dumont De Chassart, Adrien",2026-01-15 12:57,2026-01-16 08:27,2026-01-17 13:05,2026-01-18 11:30,1,0,n/a,0,6
