am,country,course,player_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,SWE,n/a,23950,41749952,10400.0,0,126051-163390,11900.0,SWE,52955,"Aberg, Ludvig",,,,,0,0,golf.p.22880$golf.g.20266,42.0,4
0,USA,n/a,19846,41750070,6200.0,0,126051-85239,7300.0,USA,48001,"Bauchou, Zach",,,,,0,0,golf.p.19938$golf.g.20266,20.0,4
0,RSA,n/a,18103,41749988,7300.0,0,126051-110898,8900.0,RSA,45522,"Bezuidenhout, Christiaan",,,,,0,0,golf.p.14326$golf.g.20266,30.0,4
0,USA,n/a,26096,41749986,7400.0,0,126051-103030,9400.0,USA,56630,"Bhatia, Akshay",,,,,0,0,golf.p.23159$golf.g.20266,35.0,4
0,USA,n/a,24956,41750053,6500.0,0,126051-180875,7300.0,USA,54788,"Blanchet, Chandler",,,,,0,0,golf.p.23466$golf.g.20266,20.0,4
0,USA,n/a,13872,41749959,9200.0,0,126051-77881,10800.0,USA,33141,"Bradley, Keegan",,,,,0,0,golf.p.10143$golf.g.20266,43.0,4
0,USA,n/a,29197,41750013,7000.0,0,126051-165892,8400.0,USA,61522,"Brennan, Michael",,,,,0,0,golf.p.24201$golf.g.20266,20.0,4
0,ENG,n/a,20766,41750014,7000.0,0,126051-189532,8300.0,ENG,57259,"Brown, Dan",,,,,0,0,golf.p.20519$golf.g.20266,31.0,4
0,USA,n/a,29304,41750088,6000.0,0,126051-167119,7000.0,USA,58816,"Byrd, Marcus",,,,,0,0,golf.p.24218$golf.g.20266,20.0,4
0,PUR,n/a,12909,41750087,6000.0,0,126051-77914,7000.0,PUR,32070,"Campos, Rafael",,,,,0,0,golf.p.9600$golf.g.20266,20.0,4
0,USA,n/a,15466,41749953,10100.0,0,126051-79435,11600.0,USA,35450,"Cantlay, Patrick",,,,,0,0,golf.p.11704$golf.g.20266,40.0,4
0,USA,n/a,27819,41750018,6900.0,0,126051-151379,8000.0,USA,59440,"Castillo, Ricky",,,,,0,0,golf.p.23671$golf.g.20266,20.0,4
0,USA,n/a,30620,41750064,6300.0,0,126051-231523,7100.0,USA,59006,"Chatfield, Davis",,,,,0,0,golf.p.24579$golf.g.20266,20.0,4
