am,country,course,player_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,USA,El Cardonal at Diamante,23540,40709226,6000,0,n/a,0,USA,52370,"Andersen, Mason",2025-11-06 08:09,2025-11-07 12:44,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,17639,40709182,6700,1,n/a,0,USA,40058,"Blair, Zac",2025-11-06 11:16,2025-11-07 06:41,,,1,0,n/a,0,457
0,USA,El Cardonal at Diamante,29197,40709118,9200,1,n/a,0,USA,61522,"Brennan, Michael",2025-11-06 11:38,2025-11-07 07:03,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,29433,40709124,8600,0,n/a,0,USA,60004,"Bridgeman, Jacob",2025-11-06 07:03,2025-11-07 11:38,,,1,0,n/a,0,457
0,USA,El Cardonal at Diamante,25363,40709202,6300,1,n/a,0,USA,55708,"Buckley, Hayden",2025-11-06 11:16,2025-11-07 06:41,,,10,0,n/a,0,457
0,PUR,El Cardonal at Diamante,12909,40709211,6200,1,n/a,0,PUR,32070,"Campos, Rafael",2025-11-06 12:00,2025-11-07 07:25,,,1,0,n/a,0,457
0,USA,El Cardonal at Diamante,21412,40709203,6300,1,n/a,0,USA,49590,"Capan III, Frankie",2025-11-06 12:44,2025-11-07 08:09,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,27819,40709167,7000,0,n/a,0,USA,59440,"Castillo, Ricky",2025-11-06 06:41,2025-11-07 11:16,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,31212,40709220,6000,1,n/a,0,USA,58933,"Chandler, Will",2025-11-06 12:44,2025-11-07 08:09,,,1,0,n/a,0,457
0,USA,El Cardonal at Diamante,32330,40709140,7600,1,n/a,0,USA,66743,"Clanton, Luke",2025-11-06 12:22,2025-11-07 07:47,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,23604,40709121,8900,1,n/a,0,USA,51766,"Clark, Wyndham",2025-11-06 11:38,2025-11-07 07:03,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,21756,40709139,7600,1,n/a,0,USA,47591,"Cole, Eric",2025-11-06 11:27,2025-11-07 06:52,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,21880,40709183,6600,0,n/a,0,USA,49453,"Cone, Trevor",2025-11-06 08:09,2025-11-07 12:44,,,1,0,n/a,0,457
0,USA,El Cardonal at Diamante,28309,40709117,9300,1,n/a,0,USA,59836,"Coody, Pierceson",2025-11-06 12:44,2025-11-07 08:09,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,11441,40709225,6000,0,n/a,0,USA,32982,"Covello, Vince",2025-11-06 07:58,2025-11-07 12:33,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,27996,40709180,6700,1,n/a,0,USA,58605,"Cummins, Quade",2025-11-06 12:33,2025-11-07 07:58,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,14509,40709178,6800,1,n/a,0,USA,34076,"Dahmen, Joel",2025-11-06 11:16,2025-11-07 06:41,,,10,0,n/a,0,457
0,CHI,El Cardonal at Diamante,17422,40709213,6100,1,n/a,0,CHI,39859,"Del Solar, Cristobal",2025-11-06 12:22,2025-11-07 07:47,,,1,0,n/a,0,457
0,USA,El Cardonal at Diamante,27420,40709218,6100,0,n/a,0,USA,51690,"Dickson, Taylor",2025-11-06 08:09,2025-11-07 12:44,,,10,0,n/a,0,457
0,ENG,El Cardonal at Diamante,4163,40709219,6100,0,n/a,0,ENG,23983,"Donald, Luke",2025-11-06 06:52,2025-11-07 11:27,,,10,0,n/a,0,457
0,USA,El Cardonal at Diamante,28270,40709187,6600,0,n/a,0,USA,59866,"Dunlap, Nick",2025-11-06 07:03,2025-11-07 11:38,,,10,0,n/a,0,457
0,COL,El Cardonal at Diamante,22833,40709120,9000,0,n/a,0,COL,51349,"Echavarria, Nico",2025-11-06 07:03,2025-11-07 11:38,,,1,0,n/a,0,457
0,USA,El Cardonal at Diamante,26653,40709129,8100,1,n/a,0,USA,57362,"Eckroat, Austin",2025-11-06 11:49,2025-11-07 07:14,,,10,0,n/a,0,457
