player_name,winner_flag
"Aberg, Ludvig",1
"McNealy, Maverick",0
"Rodgers, Patrick",0
"Scheffler, Scottie",0
"Finau, Tony",0
"Cantlay, Patrick",0
"McCarthy, Denny",0
"Fleetwood, Tommy",0
"Bhatia, Akshay",0
"Thomas, Justin",0
"Taylor, Nick",0
"Berger, Daniel",0
"Kim, Michael",0
"Novak, Andrew",0
"Thompson, Davis",0
"Matsuyama, Hideki",0
"Harman, Brian",0
"McIlroy, Rory",0
"Morikawa, Collin",0
"Yu, Kevin",0
"Knapp, Jake",0
"Dunlap, Nick",0
"Theegala, Sahith",0
"Power, Seamus",0
"Kim, Si Woo",0
"Conners, Corey",0
"Greyserman, Max",0
"Zalatoris, Will",0
"Burns, Sam",0
"English, Harris",0
"Clark, Wyndham",0
"Stevens, Sam",0
"Glover, Lucas",0
"Bradley, Keegan",0
"Echavarria, Nico",0
"Spaun, J.J.",0
"Scott, Adam",0
"Rai, Aaron",0
"Bezuidenhout, Christiaan",0
"Lowry, Shane",0
"Fowler, Rickie",0
"Henley, Russell",0
"Poston, J.T.",0
"Pavon, Matthieu",0
"Kim, Tom",0
"Jaeger, Stephan",0
"Griffin, Ben",0
"Lee, Min Woo",0
"Fitzpatrick, Matt",0
"Pendrith, Taylor",0
"Day, Jason",0
"Hughes, Mackenzie",0
"Detry, Thomas",0
"Hoge, Tom",0
"Rose, Justin",0
"Horschel, Billy",0
"Hovland, Viktor",0
"Im, Sungjae",0
"Cole, Eric",0
"Eckroat, Austin",0
"Spieth, Jordan",0
"Young, Cameron",0
"Homa, Max",0
"List, Danny",0
"Woodland, Gary",0
"MacIntyre, Robert",0
"Davis, Cam",0
"Hubbard, Mark",0
"An, Byeong Hun",0
"Straka, Sepp",0
"Hadwin, Adam",0
"Hojgaard, Rasmus",0
