player_name,winner_flag
"McIlroy, Rory",1
"Rose, Justin",0
"Reed, Patrick",0
"Scheffler, Scottie",0
"Im, Sungjae",0
"DeChambeau, Bryson",0
"Aberg, Ludvig",0
"Conners, Corey",0
"Day, Jason",0
"Schauffele, Xander",0
"Johnson, Zach",0
"Homa, Max",0
"English, Harris",0
"McCarty, Matt",0
"Hatton, Tyrrell",0
"Morikawa, Collin",0
"Rahm, Jon",0
"Watson, Bubba",0
"Hoge, Tom",0
"Spieth, Jordan",0
"Matsuyama, Hideki",0
"Berger, Daniel",0
"Riley, Davis",0
"Hovland, Viktor",0
"An, Byeong Hun",0
"Fleetwood, Tommy",0
"Kim, Michael",0
"Rai, Aaron",0
"McCarthy, Denny",0
"Niemann, Joaquin",0
"Theegala, Sahith",0
"Greyserman, Max",0
"McNealy, Maverick",0
"Campbell, Brian",0
"Hojgaard, Rasmus",0
"Cantlay, Patrick",0
"Thomas, Justin",0
"Schwartzel, Charl",0
"Harman, Brian",0
"Taylor, Nick",0
"Fitzpatrick, Matt",0
"Bhatia, Akshay",0
"Poston, J.T.",0
"Willett, Danny",0
"Lowry, Shane",0
"Clark, Wyndham",0
"Thompson, Davis",0
"Burns, Sam",0
"Lee, Min Woo",0
"Spaun, J.J.",0
"Echavarria, Nico",0
"Kim, Tom",0
"Jaeger, Stephan",0
"Henley, Russell",0
"Bradley, Keegan",0
"Langer, Bernhard",0
"Johnson, Dustin",0
"Kirk, Chris",0
"Finau, Tony",0
"Campos, Rafael",0
"Highsmith, Joe",0
"Weir, Mike",0
"Hastings, Justin",0
"Couples, Fred",0
"Garcia, Sergio",0
"Schenk, Adam",0
"Mickelson, Phil",0
"Straka, Sepp",0
"Smith, Cameron",0
"Koepka, Brooks",0
"Scott, Adam",0
"Horschel, Billy",0
"Eckroat, Austin",0
"Vegas, Jhonattan",0
"Yu, Kevin",0
"Tai, Hiroshi",0
"Hojgaard, Nicolai",0
"MacIntyre, Robert",0
"Young, Cameron",0
"Bezuidenhout, Christiaan",0
"Olazabal, Jose Maria",0
"Glover, Lucas",0
"Pendrith, Taylor",0
"Zalatoris, Will",0
"Kizzire, Patton",0
"Beck, Evan",0
"Davis, Cam",0
"Detry, Thomas",0
"Ballester Barrio, Jose Luis",0
"Pavon, Matthieu",0
"Canter, Laurie",0
"Cabrera, Angel",0
"Lawrence, Thriston",0
"Kent, Noah",0
"Dunlap, Nick",0
