am,country,player_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,event_id
0,SWE,23950,7,15,"Aberg, Ludvig",52955,3249,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 13:10', 'wave': 'late'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 09:55', 'wave': 'early'}]",10,480
0,USA,17606,59,40,"Berger, Daniel",40026,698,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 08:05', 'wave': 'early'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 11:20', 'wave': 'late'}]",32,480
0,USA,26096,21,24,"Bhatia, Akshay",56630,1212,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 09:55', 'wave': 'early'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 13:10', 'wave': 'late'}]",7,480
0,USA,24956,175,106,"Blanchet, Chandler",54788,303,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 11:30', 'wave': 'late'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 08:15', 'wave': 'early'}]",74,480
0,USA,13872,39,30,"Bradley, Keegan",33141,882,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 09:20', 'wave': 'early'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 12:35', 'wave': 'late'}]",76,480
0,USA,29433,32,19,"Bridgeman, Jacob",60004,867,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 12:25', 'wave': 'late'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 09:10', 'wave': 'early'}]",5,480
0,USA,19483,15,31,"Burns, Sam",47504,1827,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 10:35', 'wave': 'early'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 13:50', 'wave': 'late'}]",24,480
0,USA,18628,294,101,"Campbell, Brian",46443,289,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 10:45', 'wave': 'early'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 14:00', 'wave': 'late'}]",142,480
0,USA,15466,13,33,"Cantlay, Patrick",35450,1311,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 12:15', 'wave': 'late'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 09:00', 'wave': 'early'}]",40,480
0,USA,27819,93,86,"Castillo, Ricky",59440,412,"[{'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-05-07 12:05', 'wave': 'late'}, {'course_code': '', 'course_name': 'Quail Hollow Club', 'course_num': 872, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-05-08 08:50', 'wave': 'early'}]",44,480
