player_name,player_id
"Higgo, Garrick",24342
"Thorbjornsen, Michael",26649
"Dahmen, Joel",14509
"Tosti, Alejandro",17032
"Mitchell, Keith",17365
"Paul, Jeremy",22087
"Kim, Chan",15004
"Whaley, Vince",25908
"Martin, Ben",14007
"Hoffman, Charley",5768
"Schmid, Matti",20722
"NeSmith, Matt",16433
"Hubbard, Mark",16333
"Rosenmueller, Thomas",22736
"Hoey, Rico",23504
"Wallace, Matt",20706
"Wu, Dylan",25002
"Onishi, Kaito",25263
"Power, Seamus",10104
"Ramey, Chad",19840
"Blair, Zac",17639
"Norlander, Henrik",11657
"Gotterup, Chris",27774
"Skinns, David",10873
"Svensson, Adam",13997
"Chandler, Will",31212
"Baddeley, Aaron",6252
"Putnam, Andrew",14704
"Hoshino, Rikuya",19190
"Piercy, Scott",7899
"Ventura, Kris",15651
"Walker, Danny",25003
"Roy, Kevin",18424
"Coody, Pierceson",28309
"Lower, Justin",17723
"Lipsky, David",15980
"Willett, Danny",12920
"Castillo, Ricky",27819
"Choi, Sam",25091
"Bramlett, Joseph",14698
"Springer, Hayden",21995
"Hardy, Nick",19865
"Merritt, Troy",13367
"Grillo, Emiliano",12808
"McNeill, George",6419
"Thornberry, Braden",23502
"Sigg, Greyson",23482
"Cummins, Quade",27996
"Hall, Harry",27194
"Flavin, Patrick",26122
"Buckley, Hayden",25363
"McGreevy, Max",23505
"Meissner, Mac",28159
"Gainey, Tommy",12169
"Lashley, Nate",10943
"Pumarol, Willy",15903
"Humphrey, Theo",25081
"Polland, Ben",20344
"Kohles, Ben",16395
"Aiken, Thomas",7679
"Mouw, William",29770
"Fox, Ryan",11889
"Smalley, Alex",18474
"Gribble, Cody",17508
"Pak, John",27820
"Andersen, Mason",23540
"Suber, Jackson",29279
"Knox, Russell",13831
"Stuard, Brian",13022
"Riedel, Matthew",30892
"Laird, Martin",9586
"Matthews, Brandon",22981
"Fisk, Steven",26657
"Kisner, Kevin",11328
"Duncan, Tyler",18187
"Kanaya, Takumi",19729
"Campos, Rafael",12909
"Van Pelt, Bo",6457
"Reavie, Chez",7961
"Yuan, Carl",17266
"Del Solar, Cristobal",17422
"Watney, Nick",7955
"Dickson, Taylor",27420
"Gomez, Fabian",8571
"Knowles, Philip",24562
"Walker, Jimmy",7293
"Widing, Tim",21875
"Phillips, Chandler",27164
"Kang, Sung",7881
"Tway, Kevin",13127
"Dufner, Jason",7301
"Noh, S.Y.",11117
"Thompson, Nicholas",10889
"Goodwin, Noah",24837
"Streb, Robert",14852
"Waring, Paul",12426
"Champ, Cameron",23542
"List, Luke",7960
"van Rooyen, Erik",17550
"Haas, Bill",7900
"Chappell, Kevin",13305
"Stanley, Kyle",12069
"Capan III, Frankie",21412
"Peterson, Paul",16341
"Velo, Kevin",27762
"Barnes, Ricky",6846
"Cone, Trevor",21880
"Higgs, Harry",14140
"Byrd, Jonathan",6931
"Cook, Austin",18579
"Hoag, Bo",14081
"Young, Carson",23656
"Collins, Cougar",25333
"Hahn, James",11374
"Hadley, Chesson",14967
"Silfa, Hiram",16888
"Overton, Jeff",10498
"Doyal, Connor",33466
"Stallings Jr., Stephen",25335
"Potgieter, Aldrich",27900
"Compton, Erik",6556
"Guerra, Juan Jose",18421
"Montgomery, Taylor",25442
"Frittelli, Dylan",11955
"Armour, Ryan",8469
"Hicks, Justin",9166
"Hearn, David",7340
"Torres, Manuel",26135
"Valverde, Enrique",19804
"Huerta, Rodrigo",33467
"Griffin, Lanto",15330
"Crane, Ben",6674
