am,country,course,player_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,USA,n/a,18634,n/a,0,0,n/a,0,USA,46442,"McNealy, Maverick",,,,,0,0,n/a,0,5
0,USA,n/a,17365,n/a,0,0,n/a,0,USA,39546,"Mitchell, Keith",,,,,0,0,n/a,0,5
0,USA,n/a,22085,n/a,0,0,n/a,0,USA,50525,"Morikawa, Collin",,,,,0,0,n/a,0,5
0,SWE,n/a,10419,n/a,0,0,n/a,0,SWE,27349,"Noren, Alex",,,,,0,0,n/a,0,5
0,USA,n/a,23475,n/a,0,0,n/a,0,USA,51997,"Novak, Andrew",,,,,0,0,n/a,0,5
0,CAN,n/a,17780,n/a,0,0,n/a,0,CAN,40250,"Pendrith, Taylor",,,,,0,0,n/a,0,5
0,ENG,n/a,22465,n/a,0,0,n/a,0,ENG,51003,"Penge, Marco",,,,,0,0,n/a,0,5
0,USA,n/a,21554,n/a,0,0,n/a,0,USA,49771,"Poston, J.T.",,,,,0,0,n/a,0,5
0,RSA,n/a,27900,n/a,0,0,n/a,0,RSA,63343,"Potgieter, Aldrich",,,,,0,0,n/a,0,5
0,ENG,n/a,18554,n/a,0,0,n/a,0,ENG,46414,"Rai, Aaron",,,,,0,0,n/a,0,5
0,USA,n/a,16283,n/a,0,0,n/a,0,USA,36699,"Rodgers, Patrick",,,,,0,0,n/a,0,5
0,ENG,n/a,6093,n/a,0,0,n/a,0,ENG,22405,"Rose, Justin",,,,,0,0,n/a,0,5
0,USA,n/a,19895,n/a,0,0,n/a,0,USA,48081,"Schauffele, Xander",,,,,0,0,n/a,0,5
0,USA,n/a,18417,n/a,0,0,n/a,0,USA,46046,"Scheffler, Scottie",,,,,0,0,n/a,0,5
0,USA,n/a,19477,n/a,0,0,n/a,0,USA,47347,"Schenk, Adam",,,,,0,0,n/a,0,5
0,GER,n/a,20722,n/a,0,0,n/a,0,GER,48867,"Schmid, Matti",,,,,0,0,n/a,0,5
0,USA,n/a,18474,n/a,0,0,n/a,0,USA,46340,"Smalley, Alex",,,,,0,0,n/a,0,5
