am,country,course,player_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,USA,n/a,23540,n/a,0,0,n/a,0,USA,52370,"Andersen, Mason",,,,,0,0,n/a,0,528
0,ENG,n/a,28677,n/a,0,0,n/a,0,ENG,59636,"Anderson, Samuel",,,,,0,0,n/a,0,528
0,BER,n/a,31779,n/a,0,0,n/a,0,BER,66121,"Betschart, Oliver",,,,,0,0,n/a,0,528
0,USA,n/a,17639,n/a,0,0,n/a,0,USA,40058,"Blair, Zac",,,,,0,0,n/a,0,528
0,USA,n/a,14698,n/a,0,0,n/a,0,USA,34255,"Bramlett, Joseph",,,,,0,0,n/a,0,528
0,USA,n/a,29197,n/a,0,0,n/a,0,USA,61522,"Brennan, Michael",,,,,0,0,n/a,0,528
0,USA,n/a,32152,n/a,0,0,n/a,0,USA,66417,"Brown, Blades",,,,,0,0,n/a,0,528
0,USA,n/a,25363,n/a,0,0,n/a,0,USA,55708,"Buckley, Hayden",,,,,0,0,n/a,0,528
0,USA,n/a,6931,n/a,0,0,n/a,0,USA,24925,"Byrd, Jonathan",,,,,0,0,n/a,0,528
0,PUR,n/a,12909,n/a,0,0,n/a,0,PUR,32070,"Campos, Rafael",,,,,0,0,n/a,0,528
0,USA,n/a,21412,n/a,0,0,n/a,0,USA,49590,"Capan III, Frankie",,,,,0,0,n/a,0,528
0,USA,n/a,27819,n/a,0,0,n/a,0,USA,59440,"Castillo, Ricky",,,,,0,0,n/a,0,528
0,USA,n/a,23542,n/a,0,0,n/a,0,USA,52372,"Champ, Cameron",,,,,0,0,n/a,0,528
0,USA,n/a,31212,n/a,0,0,n/a,0,USA,58933,"Chandler, Will",,,,,0,0,n/a,0,528
0,USA,n/a,32330,n/a,0,0,n/a,0,USA,66743,"Clanton, Luke",,,,,0,0,n/a,0,528
0,USA,n/a,21756,n/a,0,0,n/a,0,USA,47591,"Cole, Eric",,,,,0,0,n/a,0,528
0,USA,n/a,21880,n/a,0,0,n/a,0,USA,49453,"Cone, Trevor",,,,,0,0,n/a,0,528
0,USA,n/a,28309,n/a,0,0,n/a,0,USA,59836,"Coody, Pierceson",,,,,0,0,n/a,0,528
0,USA,n/a,18579,n/a,0,0,n/a,0,USA,46435,"Cook, Austin",,,,,0,0,n/a,0,528
1,FRA,n/a,31649,n/a,0,0,n/a,0,FRA,66004,"Couilleau, Oscar",,,,,0,0,n/a,0,528
0,USA,n/a,11441,n/a,0,0,n/a,0,USA,32982,"Covello, Vince",,,,,0,0,n/a,0,528
0,USA,n/a,27996,n/a,0,0,n/a,0,USA,58605,"Cummins, Quade",,,,,0,0,n/a,0,528
0,CHI,n/a,17422,n/a,0,0,n/a,0,CHI,39859,"Del Solar, Cristobal",,,,,0,0,n/a,0,528
0,USA,n/a,27420,n/a,0,0,n/a,0,USA,51690,"Dickson, Taylor",,,,,0,0,n/a,0,528
0,USA,n/a,33101,n/a,0,0,n/a,0,USA,65422,"Doyle, Drew",,,,,0,0,n/a,0,528
0,USA,n/a,18187,n/a,0,0,n/a,0,USA,45609,"Duncan, Tyler",,,,,0,0,n/a,0,528
0,COL,n/a,22833,n/a,0,0,n/a,0,COL,51349,"Echavarria, Nico",,,,,0,0,n/a,0,528
0,AUS,n/a,19208,n/a,0,0,n/a,0,AUS,47079,"Endycott, Harrison",,,,,0,0,n/a,0,528
0,SCO,n/a,18531,n/a,0,0,n/a,0,SCO,45868,"Ferrier, Paul",,,,,0,0,n/a,0,528
0,USA,n/a,25094,n/a,0,0,n/a,0,USA,54576,"Fishburn, Patrick",,,,,0,0,n/a,0,528
0,USA,n/a,26657,n/a,0,0,n/a,0,USA,57123,"Fisk, Steven",,,,,0,0,n/a,0,528
0,USA,n/a,31343,n/a,0,0,n/a,0,USA,65256,"Ford, David",,,,,0,0,n/a,0,528
0,USA,n/a,24550,n/a,0,0,n/a,0,USA,52375,"Ghim, Doug",,,,,0,0,n/a,0,528
0,USA,n/a,24837,n/a,0,0,n/a,0,USA,55165,"Goodwin, Noah",,,,,0,0,n/a,0,528
0,USA,n/a,26660,n/a,0,0,n/a,0,USA,56762,"Gordon, Will",,,,,0,0,n/a,0,528
0,USA,n/a,15330,n/a,0,0,n/a,0,USA,35310,"Griffin, Lanto",,,,,0,0,n/a,0,528
1,BER,n/a,30008189,n/a,0,0,n/a,0,BER,69866,"Haddrell, William",,,,,0,0,n/a,0,528
0,CAN,n/a,13965,n/a,0,0,n/a,0,CAN,33399,"Hadwin, Adam",,,,,0,0,n/a,0,528
0,USA,n/a,19865,n/a,0,0,n/a,0,USA,47988,"Hardy, Nick",,,,,0,0,n/a,0,528
0,CAY,n/a,31960,n/a,0,0,n/a,0,CAY,66248,"Hastings, Justin",,,,,0,0,n/a,0,528
0,USA,n/a,14140,n/a,0,0,n/a,0,USA,33597,"Higgs, Harry",,,,,0,0,n/a,0,528
0,JPN,n/a,22760,n/a,0,0,n/a,0,JPN,51287,"Hisatsune, Ryo",,,,,0,0,n/a,0,528
0,USA,n/a,25157,n/a,0,0,n/a,0,USA,54628,"Hodges, Lee",,,,,0,0,n/a,0,528
0,PHI,n/a,23504,n/a,0,0,n/a,0,PHI,51696,"Hoey, Rico",,,,,0,0,n/a,0,528
0,JPN,n/a,19190,n/a,0,0,n/a,0,JPN,47056,"Hoshino, Rikuya",,,,,0,0,n/a,0,528
0,USA,n/a,15470,n/a,0,0,n/a,0,USA,35461,"Hossler, Beau",,,,,0,0,n/a,0,528
0,USA,n/a,16333,n/a,0,0,n/a,0,USA,36801,"Hubbard, Mark",,,,,0,0,n/a,0,528
