rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime
96,"Dantorp, Jens",0.2,3.2,39.2,12:11,07:11
97,"Walker, Euan",0.18,2.7,38.8,08:17,13:27
98,"Crocker, Sean",0.16,3.2,39.4,08:39,13:49
99,"Bjerregaard, Lucas",0.16,2.2,35.5,13:06,08:06
100,"Fisher, Ross",0.15,2.8,38.0,13:28,08:28
101,"Southgate, Matthew",0.15,2.7,38.4,08:39,13:49
102,"Lee, K.H.",0.15,2.5,37.6,12:33,07:33
103,"Paratore, Renato",0.14,2.5,37.6,12:33,07:33
104,"Laird, Martin",0.14,2.0,34.8,07:44,12:54
105,"Townsend, Hugo",0.14,3.1,39.0,13:17,08:17
106,"Cantero Gutierrez, Ivan",0.12,2.0,34.8,13:50,08:50
107,"Jonsson, Tobias",0.12,2.0,35.1,07:00,12:10
108,"Adam, Cameron",0.12,2.1,36.4,13:06,08:06
109,"Senior, Jack",0.11,1.7,33.4,13:39,08:39
110,"Lombard, Zander",0.1,1.9,34.7,13:50,08:50
111,"Sterne, Richard",0.09,2.2,35.6,12:33,07:33
112,"Lee, Junghwan",0.09,1.7,32.8,12:33,07:33
113,"Veerman, Johannes",0.09,1.6,32.2,13:28,08:28
114,"Jamieson, Scott",0.09,1.8,33.1,12:44,07:44
115,"Repetto Taylor, Rocco",0.08,1.7,33.3,13:50,08:50
116,"Zanotti, Fabrizio",0.08,1.4,30.9,13:17,08:17
117,"Arnaus, Adri",0.08,1.3,31.4,07:11,12:21
118,"Young, Daniel",0.06,1.6,32.1,08:06,13:16
119,"Premlall, Yurav",0.06,1.4,30.9,12:44,07:44
120,"Baldwin, Matthew",0.06,1.2,29.6,13:50,08:50
121,"Tarren, Callum",0.05,1.3,30.9,07:44,12:54
122,"Garcia-Heredia, Alfredo",0.05,1.0,29.4,12:33,07:33
123,"Morrison, James",0.05,1.4,31.4,12:00,07:00
124,"Charmasson, Clement",0.04,1.2,28.7,13:28,08:28
