player_id,player_name,country,flag,start_hole,early_late,r1_teetime,r2_teetime,r3_teetime,r4_teetime,event_id,r1_wave,r2_wave
13412,"Olesen, Thorbjorn",DEN,DEN,0,0,,,,,2026106,,
14975,"Otaegui, Adrian",UAE,UAE,0,0,,,,,2026106,,
16549,"Paratore, Renato",ITA,ITA,0,0,,,,,2026106,,
22087,"Paul, Jeremy",GER,GER,0,0,,,,,2026106,,
12177,"Pavan, Andrea",ITA,ITA,0,0,,,,,2026106,,
15113,"Pepperell, Eddie",ENG,ENG,0,0,,,,,2026106,,
20730,"Perez, Victor",FRA,FRA,0,0,,,,,2026106,,
28984,"Puig, David",ESP,ESP,0,0,,,,,2026106,,
11396,"Ramsay, Richie",SCO,SCO,0,0,,,,,2026106,,
23416,"Ravetto, David",FRA,FRA,0,0,,,,,2026106,,
14838,"Reed, Patrick",USA,USA,0,0,,,,,2026106,,
18174,"Ritchie, JC",RSA,RSA,0,0,,,,,2026106,,
24497,"Robinson Thompson, Brandon",ENG,ENG,0,0,,,,,2026106,,
18770,"Rozner, Antoine",FRA,FRA,0,0,,,,,2026106,,
23060,"Sandhu, Yuvraj Singh",IND,IND,0,0,,,,,2026106,,
26991,"Schaper, Jayden",RSA,RSA,0,0,,,,,2026106,,
27258,"Schmidt, Ben",ENG,ENG,0,0,,,,,2026106,,
12522,"Schneider, Marcel",GER,GER,0,0,,,,,2026106,,
27588,"Schott, Freddy",GER,GER,0,0,,,,,2026106,,
12734,"Scrivener, Jason",AUS,AUS,0,0,,,,,2026106,,
15115,"Senior, Jack",ENG,ENG,0,0,,,,,2026106,,
17081,"Sharma, Shubhankar",IND,IND,0,0,,,,,2026106,,
6950,"Siem, Marcel",GER,GER,0,0,,,,,2026106,,
22711,"Skaik, Ahmed",UAE,UAE,0,0,,,,,2026106,,
24200,"Smylie, Elvis",AUS,AUS,0,0,,,,,2026106,,
18517,"Soderberg, Sebastian",SWE,SWE,0,0,,,,,2026106,,
7049,"Sterne, Richard",RSA,RSA,0,0,,,,,2026106,,
15229,"Stone, Brandon",RSA,RSA,0,0,,,,,2026106,,
13731,"Strydom, Ockie",RSA,RSA,0,0,,,,,2026106,,
15326,"Sullivan, Andy",ENG,ENG,0,0,,,,,2026106,,
22089,"Syme, Connor",SCO,SCO,0,0,,,,,2026106,,
28157,"Vaillant, Tom",FRA,FRA,0,0,,,,,2026106,,
13374,"Van Driel, Darius",NED,NED,0,0,,,,,2026106,,
20522,"Veerman, Johannes",USA,USA,0,0,,,,,2026106,,
22231,"Von Dellingshausen, Nicolai",GER,GER,0,0,,,,,2026106,,
12426,"Waring, Paul",ENG,ENG,0,0,,,,,2026106,,
9531,"Wiesberger, Bernd",AUT,AUT,0,0,,,,,2026106,,
12920,"Willett, Danny",ENG,ENG,0,0,,,,,2026106,,
15680,"Winther, Jeff",DEN,DEN,0,0,,,,,2026106,,
11763,"Wu, Ashun",CHN,CHN,0,0,,,,,2026106,,
