am,country,player_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,event_id
0,SCO,34024,,,"Adam, Cameron",107390,7,[],80,2026110
0,RSA,11852,470.0,,"Ahlers, Jaco",35177,8,[],,2026110
0,SWE,11530,,,"Akesson, Bjorn",35676,8,[],,2026110
0,RSA,24341,,,"Albertse, Louis",42425,7,[],,2026110
0,THA,12321,383.0,388.0,"Aphibarnrat, Kiradech",37259,7,[],113,2026110
0,ENG,17813,135.0,170.0,"Armitage, Marcus",36452,8,[],21,2026110
0,ESP,30445,57.0,112.0,"Ayora, Angel",101547,29,[],17,2026110
0,GER,23016,,,"Bachem, Nick",43722,8,[],179,2026110
0,ENG,28615,311.0,288.0,"Bairstow, Sam",100418,10,[],85,2026110
1,RSA,33140,,,"Barnard, Charl",106888,7,[],,2026110
0,AUS,21152,,405.0,"Bautista, Austin",42056,5,[],,2026110
0,RSA,12819,,,"Bekker, Oliver",35942,15,[],,2026110
0,RSA,13681,,,"Blaauw, Jacques",36458,6,[],,2026110
0,ENG,29971,165.0,164.0,"Bradbury, Dan",101155,11,[],13,2026110
0,RSA,10811,,,"Bremner, Merrick",35165,2,[],,2026110
0,RSA,30210,,315.0,"Broomhead, Jonothan",101569,7,[],81,2026110
0,RSA,24608,,,"Brown, Luke",42841,11,[],,2026110
0,RSA,11976,,,"Bruiners, Heinrich",35938,8,[],,2026110
0,USA,32550,,289.0,"Bryant, Davis",106152,43,[],16,2026110
0,AUS,27379,,,"Buchanan, Jack",109138,8,[],138,2026110
0,RSA,14424,145.0,233.0,"Burmester, Dean",37979,26,[],T166,2026110
0,ESP,7457,224.0,256.0,"Cabrera Bello, Rafa",32111,11,[],53,2026110
0,ESP,14016,166.0,169.0,"Campillo, Jorge",36867,12,[],36,2026110
0,ESP,19635,,418.0,"Cantero Gutierrez, Ivan",40516,10,[],120,2026110
0,MEX,29579,,460.0,"Carrera, Luis",103018,5,[],,2026110
0,ZIM,23143,,,"Chinhoi, Robson",44072,4,[],,2026110
0,ENG,22608,234.0,211.0,"Clements, Todd",42411,8,[],109,2026110
0,RSA,10884,,,"Coetzee, George",34486,10,[],,2026110
0,FRA,20727,218.0,223.0,"Coussaud, Ugo",40882,11,[],56,2026110
0,FRA,27811,219.0,130.0,"Couvra, Martin",101251,16,[],28,2026110
0,RSA,17068,,428.0,"Daffue, MJ",39189,6,[],,2026110
0,SWE,14018,444.0,399.0,"Dantorp, Jens",36484,4,[],125,2026110
0,RSA,13725,,,"Davidse, Keenan",36652,7,[],,2026110
0,ENG,16497,,287.0,"Dean, Joe",39035,6,[],136,2026110
0,ESP,22259,249.0,235.0,"Del Rey, Alejandro",41268,6,[],52,2026110
0,CHN,26193,172.0,166.0,"Ding, Wenyi",101583,13,[],15,2026110
0,RSA,19421,,425.0,"Du Plessis, Hennie",40475,31,[],18,2026110
0,RSA,874,409.0,,"Els, Ernie",5576,7,[],,2026110
0,ESP,26008,303.0,276.0,"Elvira, Manuel",43327,5,[],58,2026110
0,ENG,23163,,400.0,"Enefer, Will",41387,9,[],,2026110
0,WAL,12287,,,"Enoch, Rhys",35374,3,[],,2026110
0,SCO,21646,157.0,174.0,"Ferguson, Ewen",40946,9,[],46,2026110
0,POR,17409,,,"Ferreira, Stephen",106078,7,[],,2026110
0,RSA,5754,,347.0,"Fichardt, Darren",1402,8,[],184,2026110
0,ENG,25362,185.0,206.0,"Fitzpatrick, Alex",42794,11,[],41,2026110
0,ZIM,15211,,,"Follet-Smith, Benjamin",42160,11,[],127,2026110
0,RSA,11955,377.0,438.0,"Frittelli, Dylan",35166,10,[],49,2026110
0,RSA,25888,384.0,354.0,"Germishuys, Deon",43142,9,[],182,2026110
0,SUI,15592,286.0,273.0,"Girrbach, Joel",38258,7,[],83,2026110
0,POR,18722,388.0,342.0,"Gouveia, Ricardo",40063,7,[],25,2026110
0,RSA,11952,102.0,326.0,"Grace, Branden",35068,51,[],131,2026110
0,FRA,10201,139.0,143.0,"Guerrier, Julien",33674,10,[],7,2026110
0,USA,23892,,,"Gumberg, Jordan",42832,9,[],148,2026110
0,RSA,10886,,,"Harding, Justin",34488,8,[],,2026110
0,ESP,24127,495.0,236.0,"Hidalgo Portillo, Angel",42508,9,[],76,2026110
0,SCO,25131,151.0,123.0,"Hill, Calum",42648,12,[],9,2026110
0,RSA,15993,417.0,237.0,"Hollick, Michael",38575,16,[],29,2026110
0,JPN,19190,330.0,359.0,"Hoshino, Rikuya",42689,13,[],69,2026110
0,RSA,6304,,,"Hugo, Jean",3174,10,[],,2026110
0,SCO,11397,393.0,388.0,"Jamieson, Scott",34771,6,[],T103,2026110
0,RSA,26947,188.0,195.0,"Jarvis, Casey",43957,94,[],4,2026110
0,RSA,22039,,,"Jerling, Luke",42339,4,[],,2026110
0,USA,32449,,481.0,"Johnston, Ryggs",105948,4,[],108,2026110
0,ENG,25601,260.0,214.0,"Jordan, Matthew",42599,11,[],75,2026110
0,RSA,25576,,,"Kaminski, Rupert",43070,10,[],,2026110
0,JPN,28268,196.0,182.0,"Kaneko, Kota",109004,8,[],119,2026110
0,JPN,20448,477.0,308.0,"Katsuragawa, Yuto",100976,7,[],T103,2026110
0,ENG,18027,251.0,395.0,"Kimsey, Nathan",39609,14,[],30,2026110
0,SWE,18514,452.0,400.0,"Kinhult, Marcus",39925,4,[],149,2026110
0,FRA,26213,,339.0,"Ko, Jeong Weon",43545,8,[],177,2026110
0,RSA,24575,,,"Korb, Ruan",43175,3,[],,2026110
1,RSA,33105,,,"Kruger, Dian",109135,2,[],,2026110
0,RSA,16896,291.0,181.0,"Kruyswijk, Jacques",39127,6,[],44,2026110
0,FRA,23733,244.0,272.0,"LaCroix, Frederic",41858,15,[],51,2026110
0,SWE,14780,257.0,127.0,"Lagergren, Joakim",37579,14,[],60,2026110
0,FRA,16652,321.0,219.0,"Langasque, Romain",39075,14,[],67,2026110
0,ITA,14987,204.0,221.0,"Laporta, Francesco",37804,19,[],34,2026110
0,ESP,9133,,437.0,"Larrazabal, Pablo",33337,4,[],112,2026110
0,RSA,18105,170.0,80.0,"Lawrence, Thriston",39791,17,[],63,2026110
1,RSA,33553,,,"Leisher, Logan",109136,3,[],,2026110
0,FIN,20085,91.0,146.0,"Lindell, Oliver",40874,18,[],22,2026110
0,RSA,21197,,486.0,"Loubser, Herman",41034,9,[],,2026110
0,NED,10158,138.0,177.0,"Luiten, Joost",34085,9,[],62,2026110
0,ITA,11460,285.0,231.0,"Manassero, Matteo",34788,16,[],111,2026110
0,RSA,19426,,,"Mavundla, Thanda",40476,5,[],,2026110
