am,country,player_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,event_id
0,ESP,7457,244.0,246.0,"Cabrera Bello, Rafa",32111,104,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:19', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 08:04', 'wave': 'early'}]",44,2026112
0,ESP,14016,172.0,177.0,"Campillo, Jorge",36867,115,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 07:52', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 11:57', 'wave': 'late'}]",36,2026112
0,ESP,19635,,444.0,"Cantero Gutierrez, Ivan",40516,105,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:08', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:53', 'wave': 'early'}]",123,2026112
0,CHN,19777,,,"Cao, Senshou",103908,27,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:36', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:41', 'wave': 'late'}]",,2026112
0,ESP,26745,186.0,143.0,"Chacarra, Eugenio",43332,370,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:03', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:08', 'wave': 'late'}]",33,2026112
0,CHN,31731,,,"Chai, Bowen",103923,43,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 07:30', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 11:35', 'wave': 'late'}]",,2026112
0,FRA,22220,,445.0,"Charmasson, Clement",102497,23,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 11:56', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:31', 'wave': 'early'}]",129,2026112
0,CHN,22032,,,"Cheng, Xirong",108582,49,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:08', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:53', 'wave': 'early'}]",,2026112
0,CAN,15596,366.0,450.0,"Cockerill, Aaron",43010,70,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:52', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 08:37', 'wave': 'early'}]",119,2026112
0,FRA,20727,277.0,238.0,"Coussaud, Ugo",40882,87,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 11:35', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:20', 'wave': 'early'}]",63,2026112
0,FRA,27811,233.0,137.0,"Couvra, Martin",101251,225,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:03', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:08', 'wave': 'late'}]",31,2026112
0,USA,23610,364.0,366.0,"Crocker, Sean",41684,248,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 08:25', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 12:30', 'wave': 'late'}]",93,2026112
0,POR,27149,423.0,,"Da Costa Rodrigues, Daniel",105484,74,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:29', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:04', 'wave': 'early'}]",76,2026112
0,ITA,26506,325.0,411.0,"De Leo, Gregorio",100023,82,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 11:56', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:31', 'wave': 'early'}]",66,2026112
0,FRA,25325,,,"Debove, Quentin",42780,46,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 11:45', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:20', 'wave': 'early'}]",161,2026112
0,CHN,26193,173.0,166.0,"Ding, Wenyi",101583,275,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:14', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:19', 'wave': 'late'}]",17,2026112
