am,country,course,player_id,dk_id,dk_salary,early_late,euro_number,fd_id,fd_salary,flag,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,SCO,Doha GC,34024,41820692,6300,1,107390,n/a,0,SCO,"Adam, Cameron",2026-02-05 06:20,2026-02-06 11:05,,,10,0,n/a,0,2026145
1,QAT,Doha GC,17056,41820715,6000,1,39166,n/a,0,QAT,"Al Kaabi, Saleh",2026-02-05 08:00,2026-02-06 12:45,,,10,0,n/a,0,2026145
1,QAT,Doha GC,15960,41820718,6000,0,38619,n/a,0,QAT,"Al Shahrani, Abdulrahman Abdulla",2026-02-05 12:45,2026-02-06 08:00,,,1,0,n/a,0,2026145
0,THA,Doha GC,12321,41820648,6900,1,37259,n/a,0,THA,"Aphibarnrat, Kiradech",2026-02-05 07:20,2026-02-06 12:05,,,1,0,n/a,0,2026145
0,ENG,Doha GC,17813,41820583,9400,0,36452,n/a,0,ENG,"Armitage, Marcus",2026-02-05 11:45,2026-02-06 07:00,,,1,0,n/a,0,2026145
0,ESP,Doha GC,23236,41820670,6600,0,41721,n/a,0,ESP,"Arnaus, Adri",2026-02-05 12:45,2026-02-06 08:00,,,10,0,n/a,0,2026145
0,ESP,Doha GC,30445,41820580,9900,0,101547,n/a,0,ESP,"Ayora, Angel",2026-02-05 12:05,2026-02-06 07:20,,,1,0,n/a,0,2026145
0,ENG,Doha GC,28615,41820604,7700,0,100418,n/a,0,ENG,"Bairstow, Sam",2026-02-05 12:15,2026-02-06 07:30,,,1,0,n/a,0,2026145
0,ENG,Doha GC,13344,41820699,6200,0,33455,n/a,0,ENG,"Baldwin, Matthew",2026-02-05 12:35,2026-02-06 07:50,,,1,0,n/a,0,2026145
0,SWE,Doha GC,23620,41820687,6300,1,43365,n/a,0,SWE,"Bergstrom, Albin",2026-02-05 06:10,2026-02-06 10:55,,,1,0,n/a,0,2026145
0,ENG,Doha GC,31520,41820677,6500,1,103310,n/a,0,ENG,"Berry, Joshua",2026-02-05 07:30,2026-02-06 12:15,,,10,0,n/a,0,2026145
0,BRA,Doha GC,25614,41820679,6400,0,107820,n/a,0,BRA,"Biondi, Fred",2026-02-05 12:45,2026-02-06 08:00,,,1,0,n/a,0,2026145
