am,country,course,player_id,dk_id,dk_salary,early_late,euro_number,fd_id,fd_salary,flag,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,ENG,Dubai Creek Resort,17813,41524346,7700,1,36452,n/a,0,ENG,"Armitage, Marcus",2026-01-15 08:30,2026-01-16 09:52,,,1,0,n/a,0,2026105
0,ESP,Dubai Creek Resort,30445,41524327,9300,1,101547,n/a,0,ESP,"Ayora, Angel",2026-01-15 08:57,2026-01-16 10:09,,,10,0,n/a,0,2026105
0,ENG,Dubai Creek Resort,29971,41524342,7900,1,101155,n/a,0,ENG,"Bradbury, Dan",2026-01-15 08:35,2026-01-16 09:47,,,10,0,n/a,0,2026105
0,ESP,Dubai Creek Resort,26745,41524337,8300,0,43332,n/a,0,ESP,"Chacarra, Eugenio",2026-01-15 10:47,2026-01-16 09:14,,,10,0,n/a,0,2026105
0,FRA,Dubai Creek Resort,27811,41524354,7300,0,101251,n/a,0,FRA,"Couvra, Martin",2026-01-15 09:58,2026-01-16 08:35,,,1,0,n/a,0,2026105
0,ESP,Dubai Creek Resort,22259,41524348,7600,0,41268,n/a,0,ESP,"Del Rey, Alejandro",2026-01-15 10:36,2026-01-16 09:03,,,10,0,n/a,0,2026105
0,ESP,Dubai Creek Resort,12988,41524360,7000,1,36078,n/a,0,ESP,"Elvira Mijares, Ignacio",2026-01-15 09:25,2026-01-16 10:47,,,1,0,n/a,0,2026105
0,SCO,Dubai Creek Resort,21646,41524338,8200,0,40946,n/a,0,SCO,"Ferguson, Ewen",2026-01-15 10:58,2026-01-16 09:25,,,10,0,n/a,0,2026105
0,ENG,Dubai Creek Resort,12294,41524322,11700,0,35371,n/a,0,ENG,"Fleetwood, Tommy",2026-01-15 10:42,2026-01-16 09:19,,,1,0,n/a,0,2026105
0,SCO,Dubai Creek Resort,16475,41524351,7400,1,38956,n/a,0,SCO,"Forrest, Grant",2026-01-15 09:47,2026-01-16 11:09,,,1,0,n/a,0,2026105
0,NZL,Dubai Creek Resort,11889,41524332,8800,0,35122,n/a,0,NZL,"Fox, Ryan",2026-01-15 10:42,2026-01-16 09:19,,,1,0,n/a,0,2026105
0,RSA,Dubai Creek Resort,11955,41524369,6500,1,35166,n/a,0,RSA,"Frittelli, Dylan",2026-01-15 08:41,2026-01-16 10:03,,,1,0,n/a,0,2026105
0,ENG,Dubai Creek Resort,18241,41524380,6000,0,39020,n/a,0,ENG,"Gavins, Daniel",2026-01-15 10:03,2026-01-16 08:30,,,10,0,n/a,0,2026105
0,FRA,Dubai Creek Resort,10201,41524349,7500,1,33674,n/a,0,FRA,"Guerrier, Julien",2026-01-15 08:46,2026-01-16 09:58,,,10,0,n/a,0,2026105
0,IRL,Dubai Creek Resort,5716,41524374,6300,1,293,n/a,0,IRL,"Harrington, Padraig",2026-01-15 09:41,2026-01-16 10:53,,,10,0,n/a,0,2026105
0,ESP,Dubai Creek Resort,24127,41524373,6300,1,42508,n/a,0,ESP,"Hidalgo Portillo, Angel",2026-01-15 08:35,2026-01-16 09:47,,,10,0,n/a,0,2026105
0,SCO,Dubai Creek Resort,25131,41524353,7300,1,42648,n/a,0,SCO,"Hill, Calum",2026-01-15 09:36,2026-01-16 10:58,,,1,0,n/a,0,2026105
0,NZL,Dubai Creek Resort,21362,41524334,8600,1,43333,n/a,0,NZL,"Hillier, Daniel",2026-01-15 09:14,2026-01-16 10:36,,,1,0,n/a,0,2026105
0,DEN,Dubai Creek Resort,23602,41524324,10100,0,42143,n/a,0,DEN,"Hojgaard, Nicolai",2026-01-15 10:31,2026-01-16 09:08,,,1,0,n/a,0,2026105
0,JPN,Dubai Creek Resort,19190,41524358,7100,1,42689,n/a,0,JPN,"Hoshino, Rikuya",2026-01-15 08:52,2026-01-16 10:14,,,1,0,n/a,0,2026105
0,USA,Dubai Creek Resort,32449,41524377,6100,0,105948,n/a,0,USA,"Johnston, Ryggs",2026-01-15 11:04,2026-01-16 09:41,,,1,0,n/a,0,2026105
