player_id,player_name,country,flag,start_hole,early_late,r1_teetime,r2_teetime,r3_teetime,r4_teetime,event_id,r1_wave,r2_wave
24172,"McKinney, Connor",AUS,AUS,0,0,,,,,2026107,,
19224,"Micheluzzi, David",AUS,AUS,0,0,,,,,2026107,,
17357,"Migliozzi, Guido",ITA,ITA,0,0,,,,,2026107,,
30481,"Mohamed, Khalifa",BRN,BRN,0,0,,,,,2026107,,
11061,"Morrison, James",ENG,ENG,0,0,,,,,2026107,,
25089,"Mory, Felix",FRA,FRA,0,0,,,,,2026107,,
19429,"Naidoo, Dylan",RSA,RSA,0,0,,,,,2026107,,
15676,"Norgaard, Niklas",DEN,DEN,0,0,,,,,2026107,,
7677,"Norris, Shaun",RSA,RSA,0,0,,,,,2026107,,
21072,"Ok, Taehoon",KOR,KOR,0,0,,,,,2026107,,
25611,"Olesen, Jacob Skov",DEN,DEN,0,0,,,,,2026107,,
14975,"Otaegui, Adrian",UAE,UAE,0,0,,,,,2026107,,
7820,"Palmer, Ryan",USA,USA,0,0,,,,,2026107,,
16549,"Paratore, Renato",ITA,ITA,0,0,,,,,2026107,,
12177,"Pavan, Andrea",ITA,ITA,0,0,,,,,2026107,,
15169,"Peake, Ryan",AUS,AUS,0,0,,,,,2026107,,
18900,"Quayle, Anthony",AUS,AUS,0,0,,,,,2026107,,
11396,"Ramsay, Richie",SCO,SCO,0,0,,,,,2026107,,
23416,"Ravetto, David",FRA,FRA,0,0,,,,,2026107,,
14838,"Reed, Patrick",USA,USA,0,0,,,,,2026107,,
31235,"Repetto Taylor, Rocco Paolo",ESP,ESP,0,0,,,,,2026107,,
18174,"Ritchie, JC",RSA,RSA,0,0,,,,,2026107,,
24497,"Robinson Thompson, Brandon",ENG,ENG,0,0,,,,,2026107,,
18770,"Rozner, Antoine",FRA,FRA,0,0,,,,,2026107,,
23060,"Sandhu, Yuvraj Singh",IND,IND,0,0,,,,,2026107,,
26991,"Schaper, Jayden",RSA,RSA,0,0,,,,,2026107,,
27258,"Schmidt, Ben",ENG,ENG,0,0,,,,,2026107,,
12522,"Schneider, Marcel",GER,GER,0,0,,,,,2026107,,
27588,"Schott, Freddy",GER,GER,0,0,,,,,2026107,,
12734,"Scrivener, Jason",AUS,AUS,0,0,,,,,2026107,,
15115,"Senior, Jack",ENG,ENG,0,0,,,,,2026107,,
17081,"Sharma, Shubhankar",IND,IND,0,0,,,,,2026107,,
6950,"Siem, Marcel",GER,GER,0,0,,,,,2026107,,
24055,"Sloman, Tom",ENG,ENG,0,0,,,,,2026107,,
18517,"Soderberg, Sebastian",SWE,SWE,0,0,,,,,2026107,,
21677,"Steinlechner, Maximilian",AUT,AUT,0,0,,,,,2026107,,
7049,"Sterne, Richard",RSA,RSA,0,0,,,,,2026107,,
15229,"Stone, Brandon",RSA,RSA,0,0,,,,,2026107,,
13731,"Strydom, Ockie",RSA,RSA,0,0,,,,,2026107,,
15326,"Sullivan, Andy",ENG,ENG,0,0,,,,,2026107,,
31165,"Townsend, Hugo",SWE,SWE,0,0,,,,,2026107,,
28157,"Vaillant, Tom",FRA,FRA,0,0,,,,,2026107,,
13374,"Van Driel, Darius",NED,NED,0,0,,,,,2026107,,
15193,"Van Tonder, Daniel",RSA,RSA,0,0,,,,,2026107,,
20522,"Veerman, Johannes",USA,USA,0,0,,,,,2026107,,
29712,"Vidal, Quim",ESP,ESP,0,0,,,,,2026107,,
22231,"Von Dellingshausen, Nicolai",GER,GER,0,0,,,,,2026107,,
27147,"Walker, Euan",SCO,SCO,0,0,,,,,2026107,,
9531,"Wiesberger, Bernd",AUT,AUT,0,0,,,,,2026107,,
15680,"Winther, Jeff",DEN,DEN,0,0,,,,,2026107,,
11763,"Wu, Ashun",CHN,CHN,0,0,,,,,2026107,,
19908,"Young, Daniel",SCO,SCO,0,0,,,,,2026107,,
29119,"Zhou, Yanhan",CHN,CHN,0,0,,,,,2026107,,
