am,country,course,player_id,dk_id,dk_salary,early_late,euro_number,fd_id,fd_salary,flag,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,THA,Emirates GC,12321,41605879,6400.0,0,37259,n/a,0,THA,"Aphibarnrat, Kiradech",2026-01-22 11:45,2026-01-23 07:25,,,1,0,n/a,0,2026106
0,ENG,Emirates GC,17813,41605813,7900.0,0,36452,n/a,0,ENG,"Armitage, Marcus",2026-01-22 11:45,2026-01-23 07:25,,,10,0,n/a,0,2026106
0,ESP,Emirates GC,30445,41605799,9200.0,1,101547,n/a,0,ESP,"Ayora, Angel",2026-01-22 07:35,2026-01-23 11:55,,,10,0,n/a,0,2026106
0,ENG,Emirates GC,28615,41605862,6700.0,0,100418,n/a,0,ENG,"Bairstow, Sam",2026-01-22 12:45,2026-01-23 08:25,,,10,0,n/a,0,2026106
0,ENG,Emirates GC,29971,41605829,7300.0,0,101155,n/a,0,ENG,"Bradbury, Dan",2026-01-22 11:35,2026-01-23 07:15,,,10,0,n/a,0,2026106
0,ESP,Emirates GC,7457,41605870,6600.0,1,32111,n/a,0,ESP,"Cabrera Bello, Rafa",2026-01-22 07:15,2026-01-23 11:35,,,1,0,n/a,0,2026106
0,ESP,Emirates GC,14016,41605845,7000.0,0,36867,n/a,0,ESP,"Campillo, Jorge",2026-01-22 12:55,2026-01-23 08:35,,,10,0,n/a,0,2026106
0,ENG,Emirates GC,14795,41605809,8200.0,1,37624,n/a,0,ENG,"Canter, Laurie",2026-01-22 07:55,2026-01-23 12:15,,,10,0,n/a,0,2026106
0,ESP,Emirates GC,19635,41605895,6200.0,0,40516,n/a,0,ESP,"Cantero Gutierrez, Ivan",2026-01-22 12:35,2026-01-23 08:15,,,10,0,n/a,0,2026106
0,ESP,Emirates GC,26745,41605810,8100.0,0,43332,n/a,0,ESP,"Chacarra, Eugenio",2026-01-22 12:05,2026-01-23 07:45,,,1,0,n/a,0,2026106
0,ENG,Emirates GC,22608,41605852,6900.0,1,42411,n/a,0,ENG,"Clements, Todd",2026-01-22 07:25,2026-01-23 11:45,,,10,0,n/a,0,2026106
0,FRA,Emirates GC,20727,41605846,7000.0,0,40882,n/a,0,FRA,"Coussaud, Ugo",2026-01-22 12:45,2026-01-23 08:25,,,10,0,n/a,0,2026106
0,FRA,Emirates GC,27811,41605837,7200.0,0,101251,n/a,0,FRA,"Couvra, Martin",2026-01-22 12:35,2026-01-23 08:15,,,1,0,n/a,0,2026106
0,USA,Emirates GC,23610,41605887,6300.0,0,41684,n/a,0,USA,"Crocker, Sean",2026-01-22 11:55,2026-01-23 07:35,,,10,0,n/a,0,2026106
0,SWE,Emirates GC,14018,41605907,6100.0,0,36484,n/a,0,SWE,"Dantorp, Jens",2026-01-22 12:25,2026-01-23 08:05,,,10,0,n/a,0,2026106
0,ENG,Emirates GC,16497,41605906,6100.0,0,39035,n/a,0,ENG,"Dean, Joe",2026-01-22 12:35,2026-01-23 08:15,,,10,0,n/a,0,2026106
