player_id,player_name,pga_number,country,flag,start_hole,early_late,r1_teetime,r2_teetime,r3_teetime,r4_teetime,event_id,r1_wave,r2_wave
19477,"Schenk, Adam",47347,USA,USA,0,0,,,,,528,,
20722,"Schmid, Matti",48867,GER,GER,0,0,,,,,528,,
23482,"Sigg, Greyson",51890,USA,USA,0,0,,,,,528,,
17381,"Silverman, Ben",39327,CAN,CAN,0,0,,,,,528,,
10873,"Skinns, David",27139,ENG,ENG,0,0,,,,,528,,
18474,"Smalley, Alex",46340,USA,USA,0,0,,,,,528,,
21786,"Smart, Henry",50313,ENG,ENG,0,0,,,,,528,,
8820,"Snedeker, Brandt",27649,USA,USA,0,0,,,,,528,,
21995,"Springer, Hayden",50484,USA,USA,0,0,,,,,528,,
25569,"Stevens, Sam",55893,USA,USA,0,0,,,,,528,,
14852,"Streb, Robert",34431,USA,USA,0,0,,,,,528,,
8480,"Streelman, Kevin",27214,USA,USA,0,0,,,,,528,,
29279,"Suber, Jackson",60019,USA,USA,0,0,,,,,528,,
13997,"Svensson, Adam",40115,CAN,CAN,0,0,,,,,528,,
26850,"Svensson, Jesper",57586,SWE,SWE,0,0,,,,,528,,
23014,"Theegala, Sahith",51634,USA,USA,0,0,,,,,528,,
23502,"Thornberry, Braden",52144,USA,USA,0,0,,,,,528,,
23816,"Valimaki, Sami",52666,FIN,FIN,0,0,,,,,528,,
27762,"Velo, Kevin",58619,USA,USA,0,0,,,,,528,,
15651,"Ventura, Kris",35658,NOR,NOR,0,0,,,,,528,,
9171,"Villegas, Camilo",27770,COL,COL,0,0,,,,,528,,
25003,"Walker, Danny",54607,USA,USA,0,0,,,,,528,,
20706,"Wallace, Matt",48887,ENG,ENG,0,0,,,,,528,,
34445,"Watts, Tyler",69500,USA,USA,0,0,,,,,528,,
25908,"Whaley, Vince",51894,USA,USA,0,0,,,,,528,,
12920,"Willett, Danny",32139,ENG,ENG,0,0,,,,,528,,
32446,"Wolcott, Hunter",59212,USA,USA,0,0,,,,,528,,
25002,"Wu, Dylan",54783,USA,USA,0,0,,,,,528,,
23656,"Young, Carson",52513,USA,USA,0,0,,,,,528,,
17881,"Yu, Kevin",45242,TPE,TPE,0,0,,,,,528,,
30042935,"Zielinski, Drew",69889,USA,USA,0,0,,,,,528,,
