rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
110,"Snedeker, Brandt",0.01,0.4,28.9,0.0
111,"Wu, Dylan",0.01,0.7,34.1,0.0
112,"Kizzire, Patton",0.0,0.6,32.3,0.0
113,"Malnati, Peter",0.0,1.0,35.7,0.0
114,"Davis, Cam",0.0,0.2,22.3,0.0
115,"Fisk, Steven",0.0,0.3,25.7,0.0
116,"Roy, Kevin",0.0,0.5,29.8,0.0
117,"Hisatsune, Ryo",0.0,0.4,28.3,0.0
118,"Campos, Rafael",0.0,0.0,13.2,0.0
119,"Byrd, Marcus",0.0,0.2,21.8,0.0
120,"Garnett, Brice",0.0,0.0,13.4,0.0
121,"Dumont De Chassart, Adrien",0.0,0.2,23.1,0.0
122,"Highsmith, Joe",0.0,0.3,28.0,0.0
123,"Cole, Eric",0.0,0.2,20.2,0.0
124,"Dou, Zecheng",0.0,0.3,25.4,0.0
125,"Hoge, Tom",0.0,0.2,22.8,0.0
126,"McGreevy, Max",0.0,0.1,20.8,0.0
127,"McCarthy, Denny",0.0,0.2,25.2,0.0
128,"Lower, Justin",0.0,0.2,25.2,0.0
129,"Lipsky, David",0.0,0.1,18.8,0.0
130,"Koepka, Brooks",0.0,0.2,21.8,0.0
131,"Hoey, Rico",0.0,0.5,31.0,0.0
132,"Hoffman, Charley",0.0,0.1,20.4,0.0
133,"Phillips, Chandler",0.0,0.0,8.1,0.0
134,"Power, Seamus",0.0,0.0,14.8,0.0
135,"Riley, Davis",0.0,0.0,14.1,0.0
136,"Mitchell, Keith",0.0,0.5,30.3,0.0
137,"Streelman, Kevin",0.0,0.4,26.8,0.0
138,"Svensson, Adam",0.0,0.0,13.4,0.0
139,"Wallace, Matt",0.0,0.2,25.5,0.0
140,"Van Rooyen, Erik",0.0,0.3,25.8,0.0
141,"Villegas, Camilo",0.0,0.0,7.4,0.0
